session_index,user,session,raw_rows,collapsed_rows,duplicate_timestamp_rate,velocity_p99,acceleration_p99_abs,jerk_p99_abs
34,user23,session_1123244103,21115,17292,0.33596968979398534,5000.0,1000000.0,100000000.0
35,user23,session_2080551697,17348,14831,0.2771501037583583,5000.0,1000000.0,100000000.0
36,user23,session_3195683016,17127,15270,0.20838442225725462,5000.0,1000000.0,100000000.0
37,user23,session_7336984763,18940,16699,0.2284582893347413,5000.0,1000000.0,100000000.0
38,user23,session_9962419470,28435,23653,0.31535080007033583,5000.0,1000000.0,100000000.0
39,user29,session_0595774526,14980,12517,0.3138184245660881,5000.0,1000000.0,100000000.0
40,user29,session_2786719181,13640,9346,0.5637096774193548,5000.0,1000000.0,100000000.0
41,user29,session_3135434116,15524,12937,0.316348879154857,5000.0,1000000.0,100000000.0
42,user29,session_3424156599,32601,23865,0.4985736633845588,5000.0,1000000.0,100000000.0
43,user29,session_4384625557,18114,12840,0.5237385447719995,5000.0,1000000.0,100000000.0
44,user29,session_5396497934,13707,11595,0.29554242357919314,5000.0,1000000.0,100000000.0
45,user29,session_8617964668,23185,15723,0.5742074617209403,5000.0,1000000.0,100000000.0
46,user35,session_1909471574,23107,19113,0.3254425065997317,5000.0,1000000.0,100000000.0
47,user35,session_3412209090,21328,18471,0.2556264066016504,5000.0,1000000.0,100000000.0
48,user35,session_5394017914,16901,14200,0.30205313295071295,5000.0,1000000.0,100000000.0
49,user35,session_6509784211,19415,17291,0.2111769250579449,5000.0,1000000.0,100000000.0
50,user35,session_6820312264,18119,16186,0.2094486450687124,5000.0,1000000.0,100000000.0
51,user7,session_0041905381,83091,23785,0.9075952870948719,5000.0,1000000.0,100000000.0
52,user7,session_1060325796,43484,12482,0.9105418084812805,5000.0,1000000.0,100000000.0
53,user7,session_3320405034,69832,19473,0.9145663879023943,5000.0,1000000.0,100000000.0
54,user7,session_3826583375,59197,16386,0.9156882950149501,5000.0,1000000.0,100000000.0
55,user7,session_6668463071,54338,16147,0.8940520446096655,5000.0,1000000.0,100000000.0
56,user7,session_8961330453,48209,12634,0.928706258167562,5000.0,1000000.0,100000000.0
57,user7,session_9017095287,67909,19205,0.9155487490612437,5000.0,1000000.0,100000000.0
58,user9,session_0335985747,54418,8423,0.9570178984894704,5000.0,1000000.0,100000000.0
59,user9,session_3390119815,58141,9375,0.9515316214031406,5000.0,1000000.0,100000000.0
60,user9,session_3879637058,72732,12148,0.9469559478633889,5000.0,1000000.0,100000000.0
61,user9,session_4373781904,56973,9159,0.9492391132641778,5000.0,1000000.0,100000000.0
62,user9,session_5155383252,59781,8886,0.9598032819792242,5000.0,1000000.0,100000000.0
63,user9,session_7285432516,57106,9527,0.9415122754176444,5000.0,1000000.0,100000000.0
64,user9,session_8764610836,56517,8771,0.957127943804519,5000.0,1000000.0,100000000.0
