source,session_id,step,x,y
genuine,user9:session_0510101673,72,0.0,0.0
genuine,user9:session_0510101673,73,0.0,0.0
genuine,user9:session_0510101673,74,0.0,0.0
genuine,user9:session_0510101673,75,0.0,0.0
genuine,user9:session_0510101673,76,0.0,0.0
genuine,user9:session_0510101673,77,523.0,310.0
genuine,user9:session_0510101673,78,484.0,325.0
genuine,user9:session_0510101673,79,461.0,331.0
genuine,user9:session_0510101673,80,461.0,331.0
genuine,user9:session_0510101673,81,467.0,338.0
genuine,user9:session_0510101673,82,526.0,413.0
genuine,user9:session_0510101673,83,522.0,415.0
genuine,user9:session_0510101673,84,514.0,415.0
genuine,user9:session_0510101673,85,490.0,417.0
genuine,user9:session_0510101673,86,489.0,416.0
genuine,user9:session_0510101673,87,472.0,415.0
genuine,user9:session_0510101673,88,425.0,416.0
genuine,user9:session_0510101673,89,273.0,465.0
genuine,user9:session_0510101673,90,271.0,465.0
genuine,user9:session_0510101673,91,272.0,460.0
genuine,user9:session_0510101673,92,276.0,445.0
genuine,user9:session_0510101673,93,278.0,441.0
genuine,user9:session_0510101673,94,285.0,422.0
genuine,user9:session_0510101673,95,284.0,408.0
genuine,user9:session_0510101673,96,276.0,384.0
genuine,user9:session_0510101673,97,278.0,363.0
genuine,user9:session_0510101673,98,321.0,286.0
genuine,user9:session_0510101673,99,336.0,287.0
genuine,user9:session_0510101673,100,340.0,286.0
genuine,user9:session_0510101673,101,346.0,283.0
genuine,user9:session_0510101673,102,349.0,282.0
genuine,user9:session_0510101673,103,359.0,276.0
genuine,user9:session_0510101673,104,359.0,276.0
genuine,user9:session_0510101673,105,359.0,276.0
genuine,user9:session_0510101673,106,359.0,276.0
genuine,user9:session_0510101673,107,359.0,277.0
genuine,user9:session_0510101673,108,297.0,306.0
genuine,user9:session_0510101673,109,292.0,308.0
genuine,user9:session_0510101673,110,247.0,318.0
genuine,user9:session_0510101673,111,192.0,319.0
genuine,user9:session_0510101673,112,172.0,317.0
genuine,user9:session_0510101673,113,163.0,353.0
genuine,user9:session_0510101673,114,176.0,416.0
genuine,user9:session_0510101673,115,177.0,417.0
genuine,user9:session_0510101673,116,186.0,425.0
genuine,user9:session_0510101673,117,191.0,434.0
genuine,user9:session_0510101673,118,200.0,445.0
genuine,user9:session_0510101673,119,200.0,445.0
genuine,user9:session_0510101673,120,200.0,445.0
genuine,user9:session_0510101673,121,200.0,445.0
genuine,user9:session_0510101673,122,210.0,441.0
genuine,user9:session_0510101673,123,216.0,439.0
genuine,user9:session_0510101673,124,269.0,442.0
genuine,user9:session_0510101673,125,0.0,0.0
genuine,user9:session_0510101673,126,0.0,0.0
genuine,user9:session_0510101673,127,0.0,0.0
genuine,user9:session_0626697371,0,162.0,403.0
genuine,user9:session_0626697371,1,176.0,420.0
genuine,user9:session_0626697371,2,177.0,421.0
genuine,user9:session_0626697371,3,184.0,429.0
genuine,user9:session_0626697371,4,188.0,435.0
genuine,user9:session_0626697371,5,188.0,436.0
genuine,user9:session_0626697371,6,188.0,436.0
genuine,user9:session_0626697371,7,188.0,436.0
genuine,user9:session_0626697371,8,189.0,431.0
genuine,user9:session_0626697371,9,215.0,293.0
genuine,user9:session_0626697371,10,228.0,139.0
genuine,user9:session_0626697371,11,236.0,88.0
genuine,user9:session_0626697371,12,238.0,83.0
genuine,user9:session_0626697371,13,240.0,77.0
genuine,user9:session_0626697371,14,240.0,76.0
genuine,user9:session_0626697371,15,240.0,68.0
genuine,user9:session_0626697371,16,240.0,58.0
genuine,user9:session_0626697371,17,249.0,45.0
genuine,user9:session_0626697371,18,251.0,43.0
genuine,user9:session_0626697371,19,236.0,50.0
genuine,user9:session_0626697371,20,236.0,50.0
genuine,user9:session_0626697371,21,230.0,53.0
genuine,user9:session_0626697371,22,164.0,73.0
genuine,user9:session_0626697371,23,142.0,82.0
genuine,user9:session_0626697371,24,122.0,95.0
genuine,user9:session_0626697371,25,119.0,99.0
genuine,user9:session_0626697371,26,110.0,120.0
genuine,user9:session_0626697371,27,110.0,121.0
genuine,user9:session_0626697371,28,110.0,121.0
genuine,user9:session_0626697371,29,112.0,129.0
genuine,user9:session_0626697371,30,153.0,219.0
genuine,user9:session_0626697371,31,175.0,271.0
genuine,user9:session_0626697371,32,180.0,278.0
genuine,user9:session_0626697371,33,187.0,317.0
genuine,user9:session_0626697371,34,167.0,324.0
genuine,user9:session_0626697371,35,128.0,344.0
genuine,user9:session_0626697371,36,98.0,361.0
genuine,user9:session_0626697371,37,52.0,382.0
genuine,user9:session_0626697371,38,46.0,390.0
genuine,user9:session_0626697371,39,45.0,393.0
genuine,user9:session_0626697371,40,40.0,408.0
genuine,user9:session_0626697371,41,40.0,408.0
genuine,user9:session_0626697371,42,42.0,404.0
genuine,user9:session_0626697371,43,44.0,394.0
genuine,user9:session_0626697371,44,57.0,353.0
genuine,user9:session_0626697371,45,70.0,279.0
genuine,user9:session_0626697371,46,73.0,253.0
genuine,user9:session_0626697371,47,74.0,244.0
genuine,user9:session_0626697371,48,76.0,235.0
genuine,user9:session_0626697371,49,79.0,223.0
genuine,user9:session_0626697371,50,83.0,203.0
genuine,user9:session_0626697371,51,100.0,169.0
genuine,user9:session_0626697371,52,122.0,141.0
genuine,user9:session_0626697371,53,118.0,122.0
genuine,user9:session_0626697371,54,79.0,115.0
genuine,user9:session_0626697371,55,54.0,121.0
genuine,user9:session_0626697371,56,53.0,121.0
genuine,user9:session_0626697371,57,39.0,121.0
genuine,user9:session_0626697371,58,28.0,122.0
genuine,user9:session_0626697371,59,27.0,123.0
genuine,user9:session_0626697371,60,27.0,123.0
genuine,user9:session_0626697371,61,29.0,125.0
genuine,user9:session_0626697371,62,57.0,140.0
genuine,user9:session_0626697371,63,69.0,151.0
genuine,user9:session_0626697371,64,76.0,151.0
genuine,user9:session_0626697371,65,79.0,151.0
genuine,user9:session_0626697371,66,81.0,151.0
genuine,user9:session_0626697371,67,88.0,147.0
genuine,user9:session_0626697371,68,91.0,145.0
genuine,user9:session_0626697371,69,92.0,135.0
genuine,user9:session_0626697371,70,92.0,134.0
genuine,user9:session_0626697371,71,95.0,125.0
genuine,user9:session_0626697371,72,95.0,125.0
genuine,user9:session_0626697371,73,96.0,127.0
genuine,user9:session_0626697371,74,128.0,202.0
genuine,user9:session_0626697371,75,203.0,290.0
genuine,user9:session_0626697371,76,226.0,342.0
genuine,user9:session_0626697371,77,273.0,397.0
genuine,user9:session_0626697371,78,275.0,404.0
genuine,user9:session_0626697371,79,277.0,404.0
genuine,user9:session_0626697371,80,292.0,406.0
genuine,user9:session_0626697371,81,295.0,406.0
genuine,user9:session_0626697371,82,298.0,406.0
genuine,user9:session_0626697371,83,305.0,408.0
genuine,user9:session_0626697371,84,303.0,404.0
genuine,user9:session_0626697371,85,298.0,396.0
genuine,user9:session_0626697371,86,224.0,404.0
genuine,user9:session_0626697371,87,115.0,429.0
genuine,user9:session_0626697371,88,94.0,427.0
genuine,user9:session_0626697371,89,73.0,420.0
genuine,user9:session_0626697371,90,53.0,407.0
genuine,user9:session_0626697371,91,52.0,407.0
genuine,user9:session_0626697371,92,41.0,403.0
genuine,user9:session_0626697371,93,36.0,401.0
genuine,user9:session_0626697371,94,34.0,400.0
genuine,user9:session_0626697371,95,34.0,400.0
genuine,user9:session_0626697371,96,34.0,400.0
genuine,user9:session_0626697371,97,35.0,399.0
genuine,user9:session_0626697371,98,73.0,342.0
genuine,user9:session_0626697371,99,85.0,302.0
genuine,user9:session_0626697371,100,96.0,282.0
genuine,user9:session_0626697371,101,113.0,232.0
genuine,user9:session_0626697371,102,113.0,189.0
genuine,user9:session_0626697371,103,98.0,159.0
genuine,user9:session_0626697371,104,91.0,147.0
genuine,user9:session_0626697371,105,88.0,142.0
genuine,user9:session_0626697371,106,84.0,138.0
genuine,user9:session_0626697371,107,53.0,132.0
genuine,user9:session_0626697371,108,43.0,127.0
genuine,user9:session_0626697371,109,35.0,122.0
genuine,user9:session_0626697371,110,29.0,121.0
genuine,user9:session_0626697371,111,29.0,121.0
genuine,user9:session_0626697371,112,32.0,123.0
genuine,user9:session_0626697371,113,83.0,148.0
genuine,user9:session_0626697371,114,97.0,156.0
genuine,user9:session_0626697371,115,107.0,160.0
genuine,user9:session_0626697371,116,108.0,160.0
genuine,user9:session_0626697371,117,111.0,159.0
genuine,user9:session_0626697371,118,117.0,149.0
genuine,user9:session_0626697371,119,108.0,135.0
genuine,user9:session_0626697371,120,106.0,129.0
genuine,user9:session_0626697371,121,102.0,118.0
genuine,user9:session_0626697371,122,102.0,118.0
genuine,user9:session_0626697371,123,102.0,118.0
genuine,user9:session_0626697371,124,102.0,119.0
genuine,user9:session_0626697371,125,136.0,157.0
genuine,user9:session_0626697371,126,185.0,208.0
genuine,user9:session_0626697371,127,189.0,214.0
genuine,user9:session_0815666379,0,398.0,362.0
genuine,user9:session_0815666379,1,399.0,362.0
genuine,user9:session_0815666379,2,399.0,363.0
genuine,user9:session_0815666379,3,409.0,389.0
genuine,user9:session_0815666379,4,415.0,395.0
genuine,user9:session_0815666379,5,416.0,395.0
genuine,user9:session_0815666379,6,0.0,0.0
genuine,user9:session_0815666379,7,0.0,0.0
genuine,user9:session_0815666379,8,0.0,0.0
genuine,user9:session_0815666379,9,0.0,0.0
genuine,user9:session_0815666379,10,0.0,0.0
genuine,user9:session_0815666379,11,0.0,0.0
genuine,user9:session_0815666379,12,417.0,392.0
genuine,user9:session_0815666379,13,424.0,361.0
genuine,user9:session_0815666379,14,413.0,314.0
genuine,user9:session_0815666379,15,363.0,244.0
genuine,user9:session_0815666379,16,357.0,240.0
genuine,user9:session_0815666379,17,247.0,186.0
genuine,user9:session_0815666379,18,118.0,160.0
genuine,user9:session_0815666379,19,100.0,149.0
genuine,user9:session_0815666379,20,98.0,149.0
genuine,user9:session_0815666379,21,88.0,146.0
genuine,user9:session_0815666379,22,128.0,135.0
genuine,user9:session_0815666379,23,104.0,130.0
genuine,user9:session_0815666379,24,76.0,130.0
genuine,user9:session_0815666379,25,61.0,130.0
genuine,user9:session_0815666379,26,48.0,127.0
genuine,user9:session_0815666379,27,49.0,127.0
genuine,user9:session_0815666379,28,98.0,125.0
genuine,user9:session_0815666379,29,138.0,121.0
genuine,user9:session_0815666379,30,155.0,120.0
genuine,user9:session_0815666379,31,167.0,121.0
genuine,user9:session_0815666379,32,176.0,125.0
genuine,user9:session_0815666379,33,176.0,125.0
genuine,user9:session_0815666379,34,176.0,125.0
genuine,user9:session_0815666379,35,176.0,125.0
genuine,user9:session_0815666379,36,176.0,125.0
genuine,user9:session_0815666379,37,176.0,125.0
genuine,user9:session_0815666379,38,176.0,125.0
genuine,user9:session_0815666379,39,176.0,125.0
genuine,user9:session_0815666379,40,177.0,205.0
genuine,user9:session_0815666379,41,184.0,213.0
genuine,user9:session_0815666379,42,185.0,214.0
genuine,user9:session_0815666379,43,198.0,235.0
genuine,user9:session_0815666379,44,195.0,189.0
genuine,user9:session_0815666379,45,195.0,180.0
genuine,user9:session_0815666379,46,225.0,97.0
genuine,user9:session_0815666379,47,237.0,75.0
genuine,user9:session_0815666379,48,238.0,72.0
genuine,user9:session_0815666379,49,245.0,56.0
genuine,user9:session_0815666379,50,255.0,54.0
genuine,user9:session_0815666379,51,259.0,53.0
genuine,user9:session_0815666379,52,259.0,53.0
genuine,user9:session_0815666379,53,256.0,85.0
genuine,user9:session_0815666379,54,258.0,95.0
genuine,user9:session_0815666379,55,289.0,251.0
genuine,user9:session_0815666379,56,335.0,341.0
genuine,user9:session_0815666379,57,337.0,368.0
genuine,user9:session_0815666379,58,337.0,370.0
genuine,user9:session_0815666379,59,338.0,376.0
genuine,user9:session_0815666379,60,382.0,490.0
genuine,user9:session_0815666379,61,0.0,0.0
genuine,user9:session_0815666379,62,0.0,0.0
genuine,user9:session_0815666379,63,0.0,0.0
genuine,user9:session_0815666379,64,0.0,0.0
genuine,user9:session_0815666379,65,0.0,0.0
genuine,user9:session_0815666379,66,0.0,0.0
genuine,user9:session_0815666379,67,0.0,0.0
genuine,user9:session_0815666379,68,0.0,0.0
genuine,user9:session_0815666379,69,0.0,0.0
genuine,user9:session_0815666379,70,381.0,491.0
genuine,user9:session_0815666379,71,340.0,507.0
genuine,user9:session_0815666379,72,312.0,523.0
genuine,user9:session_0815666379,73,235.0,545.0
genuine,user9:session_0815666379,74,231.0,543.0
genuine,user9:session_0815666379,75,202.0,532.0
genuine,user9:session_0815666379,76,199.0,530.0
genuine,user9:session_0815666379,77,191.0,521.0
genuine,user9:session_0815666379,78,186.0,516.0
genuine,user9:session_0815666379,79,185.0,515.0
genuine,user9:session_0815666379,80,178.0,501.0
genuine,user9:session_0815666379,81,175.0,495.0
genuine,user9:session_0815666379,82,161.0,484.0
genuine,user9:session_0815666379,83,151.0,475.0
genuine,user9:session_0815666379,84,148.0,473.0
genuine,user9:session_0815666379,85,148.0,473.0
genuine,user9:session_0815666379,86,182.0,441.0
genuine,user9:session_0815666379,87,333.0,273.0
genuine,user9:session_0815666379,88,338.0,266.0
genuine,user9:session_0815666379,89,381.0,191.0
genuine,user9:session_0815666379,90,383.0,187.0
genuine,user9:session_0815666379,91,425.0,140.0
genuine,user9:session_0815666379,92,426.0,133.0
genuine,user9:session_0815666379,93,405.0,125.0
genuine,user9:session_0815666379,94,405.0,125.0
genuine,user9:session_0815666379,95,405.0,129.0
genuine,user9:session_0815666379,96,409.0,159.0
genuine,user9:session_0815666379,97,408.0,159.0
genuine,user9:session_0815666379,98,334.0,164.0
genuine,user9:session_0815666379,99,322.0,161.0
genuine,user9:session_0815666379,100,306.0,159.0
genuine,user9:session_0815666379,101,292.0,182.0
genuine,user9:session_0815666379,102,286.0,192.0
genuine,user9:session_0815666379,103,281.0,195.0
genuine,user9:session_0815666379,104,290.0,193.0
genuine,user9:session_0815666379,105,342.0,203.0
genuine,user9:session_0815666379,106,343.0,208.0
genuine,user9:session_0815666379,107,343.0,209.0
genuine,user9:session_0815666379,108,343.0,217.0
genuine,user9:session_0815666379,109,344.0,226.0
genuine,user9:session_0815666379,110,338.0,233.0
genuine,user9:session_0815666379,111,322.0,244.0
genuine,user9:session_0815666379,112,319.0,245.0
genuine,user9:session_0815666379,113,318.0,245.0
genuine,user9:session_0815666379,114,318.0,245.0
genuine,user9:session_0815666379,115,319.0,246.0
genuine,user9:session_0815666379,116,319.0,245.0
genuine,user9:session_0815666379,117,289.0,219.0
genuine,user9:session_0815666379,118,296.0,224.0
genuine,user9:session_0815666379,119,305.0,230.0
genuine,user9:session_0815666379,120,311.0,236.0
genuine,user9:session_0815666379,121,322.0,247.0
genuine,user9:session_0815666379,122,325.0,253.0
genuine,user9:session_0815666379,123,323.0,254.0
genuine,user9:session_0815666379,124,315.0,261.0
genuine,user9:session_0815666379,125,315.0,261.0
genuine,user9:session_0815666379,126,315.0,261.0
genuine,user9:session_0815666379,127,317.0,260.0
genuine,user9:session_1177848198,0,382.0,515.0
genuine,user9:session_1177848198,1,353.0,375.0
genuine,user9:session_1177848198,2,351.0,364.0
genuine,user9:session_1177848198,3,340.0,332.0
genuine,user9:session_1177848198,4,340.0,330.0
genuine,user9:session_1177848198,5,334.0,317.0
genuine,user9:session_1177848198,6,0.0,0.0
genuine,user9:session_1177848198,7,0.0,0.0
genuine,user9:session_1177848198,8,0.0,0.0
genuine,user9:session_1177848198,9,0.0,0.0
genuine,user9:session_1177848198,10,0.0,0.0
genuine,user9:session_1177848198,11,0.0,0.0
genuine,user9:session_1177848198,12,329.0,306.0
genuine,user9:session_1177848198,13,337.0,289.0
genuine,user9:session_1177848198,14,343.0,287.0
genuine,user9:session_1177848198,15,354.0,316.0
genuine,user9:session_1177848198,16,355.0,317.0
genuine,user9:session_1177848198,17,404.0,330.0
genuine,user9:session_1177848198,18,413.0,332.0
genuine,user9:session_1177848198,19,413.0,330.0
genuine,user9:session_1177848198,20,416.0,315.0
genuine,user9:session_1177848198,21,419.0,289.0
genuine,user9:session_1177848198,22,415.0,273.0
genuine,user9:session_1177848198,23,411.0,265.0
genuine,user9:session_1177848198,24,410.0,262.0
genuine,user9:session_1177848198,25,410.0,262.0
genuine,user9:session_1177848198,26,410.0,262.0
genuine,user9:session_1177848198,27,410.0,262.0
genuine,user9:session_1177848198,28,410.0,262.0
genuine,user9:session_1177848198,29,410.0,263.0
genuine,user9:session_1177848198,30,425.0,304.0
genuine,user9:session_1177848198,31,434.0,317.0
genuine,user9:session_1177848198,32,441.0,322.0
genuine,user9:session_1177848198,33,467.0,335.0
genuine,user9:session_1177848198,34,483.0,339.0
genuine,user9:session_1177848198,35,483.0,338.0
genuine,user9:session_1177848198,36,487.0,330.0
genuine,user9:session_1177848198,37,490.0,327.0
genuine,user9:session_1177848198,38,491.0,326.0
genuine,user9:session_1177848198,39,494.0,318.0
genuine,user9:session_1177848198,40,496.0,302.0
genuine,user9:session_1177848198,41,496.0,296.0
genuine,user9:session_1177848198,42,496.0,295.0
genuine,user9:session_1177848198,43,496.0,295.0
genuine,user9:session_1177848198,44,496.0,295.0
genuine,user9:session_1177848198,45,496.0,295.0
genuine,user9:session_1177848198,46,488.0,294.0
genuine,user9:session_1177848198,47,370.0,273.0
genuine,user9:session_1177848198,48,336.0,269.0
genuine,user9:session_1177848198,49,284.0,259.0
genuine,user9:session_1177848198,50,254.0,252.0
genuine,user9:session_1177848198,51,241.0,248.0
genuine,user9:session_1177848198,52,229.0,248.0
genuine,user9:session_1177848198,53,229.0,248.0
genuine,user9:session_1177848198,54,229.0,248.0
genuine,user9:session_1177848198,55,229.0,248.0
genuine,user9:session_1177848198,56,230.0,251.0
genuine,user9:session_1177848198,57,237.0,262.0
genuine,user9:session_1177848198,58,239.0,263.0
genuine,user9:session_1177848198,59,241.0,266.0
genuine,user9:session_1177848198,60,247.0,274.0
genuine,user9:session_1177848198,61,259.0,285.0
genuine,user9:session_1177848198,62,273.0,299.0
genuine,user9:session_1177848198,63,278.0,309.0
genuine,user9:session_1177848198,64,284.0,323.0
genuine,user9:session_1177848198,65,284.0,324.0
genuine,user9:session_1177848198,66,287.0,338.0
genuine,user9:session_1177848198,67,289.0,353.0
genuine,user9:session_1177848198,68,290.0,361.0
genuine,user9:session_1177848198,69,290.0,366.0
genuine,user9:session_1177848198,70,290.0,368.0
genuine,user9:session_1177848198,71,290.0,371.0
genuine,user9:session_1177848198,72,289.0,382.0
genuine,user9:session_1177848198,73,289.0,389.0
genuine,user9:session_1177848198,74,289.0,398.0
genuine,user9:session_1177848198,75,289.0,402.0
genuine,user9:session_1177848198,76,292.0,402.0
genuine,user9:session_1177848198,77,343.0,403.0
genuine,user9:session_1177848198,78,346.0,403.0
genuine,user9:session_1177848198,79,351.0,403.0
genuine,user9:session_1177848198,80,389.0,393.0
genuine,user9:session_1177848198,81,390.0,392.0
genuine,user9:session_1177848198,82,405.0,386.0
genuine,user9:session_1177848198,83,406.0,384.0
genuine,user9:session_1177848198,84,407.0,383.0
genuine,user9:session_1177848198,85,417.0,373.0
genuine,user9:session_1177848198,86,428.0,360.0
genuine,user9:session_1177848198,87,436.0,347.0
genuine,user9:session_1177848198,88,437.0,346.0
genuine,user9:session_1177848198,89,443.0,336.0
genuine,user9:session_1177848198,90,451.0,326.0
genuine,user9:session_1177848198,91,459.0,314.0
genuine,user9:session_1177848198,92,461.0,312.0
genuine,user9:session_1177848198,93,464.0,307.0
genuine,user9:session_1177848198,94,465.0,308.0
genuine,user9:session_1177848198,95,472.0,313.0
genuine,user9:session_1177848198,96,472.0,314.0
genuine,user9:session_1177848198,97,472.0,316.0
genuine,user9:session_1177848198,98,473.0,323.0
genuine,user9:session_1177848198,99,473.0,326.0
genuine,user9:session_1177848198,100,473.0,334.0
genuine,user9:session_1177848198,101,473.0,347.0
genuine,user9:session_1177848198,102,473.0,357.0
genuine,user9:session_1177848198,103,473.0,368.0
genuine,user9:session_1177848198,104,473.0,379.0
genuine,user9:session_1177848198,105,473.0,381.0
genuine,user9:session_1177848198,106,473.0,383.0
genuine,user9:session_1177848198,107,461.0,369.0
genuine,user9:session_1177848198,108,433.0,338.0
genuine,user9:session_1177848198,109,425.0,330.0
genuine,user9:session_1177848198,110,340.0,240.0
genuine,user9:session_1177848198,111,266.0,182.0
genuine,user9:session_1177848198,112,252.0,168.0
genuine,user9:session_1177848198,113,246.0,130.0
genuine,user9:session_1177848198,114,254.0,114.0
genuine,user9:session_1177848198,115,255.0,112.0
genuine,user9:session_1177848198,116,261.0,93.0
genuine,user9:session_1177848198,117,260.0,88.0
genuine,user9:session_1177848198,118,259.0,83.0
genuine,user9:session_1177848198,119,258.0,76.0
genuine,user9:session_1177848198,120,263.0,67.0
genuine,user9:session_1177848198,121,264.0,66.0
genuine,user9:session_1177848198,122,269.0,55.0
genuine,user9:session_1177848198,123,269.0,55.0
genuine,user9:session_1177848198,124,269.0,55.0
genuine,user9:session_1177848198,125,269.0,55.0
genuine,user9:session_1177848198,126,269.0,55.0
genuine,user9:session_1177848198,127,269.0,55.0
genuine,user9:session_1281792837,0,227.0,292.0
genuine,user9:session_1281792837,1,227.0,292.0
genuine,user9:session_1281792837,2,237.0,351.0
genuine,user9:session_1281792837,3,239.0,364.0
genuine,user9:session_1281792837,4,239.0,365.0
genuine,user9:session_1281792837,5,245.0,353.0
genuine,user9:session_1281792837,6,322.0,265.0
genuine,user9:session_1281792837,7,330.0,257.0
genuine,user9:session_1281792837,8,341.0,244.0
genuine,user9:session_1281792837,9,343.0,242.0
genuine,user9:session_1281792837,10,348.0,230.0
genuine,user9:session_1281792837,11,350.0,222.0
genuine,user9:session_1281792837,12,350.0,222.0
genuine,user9:session_1281792837,13,349.0,223.0
genuine,user9:session_1281792837,14,342.0,237.0
genuine,user9:session_1281792837,15,340.0,240.0
genuine,user9:session_1281792837,16,230.0,324.0
genuine,user9:session_1281792837,17,209.0,337.0
genuine,user9:session_1281792837,18,156.0,366.0
genuine,user9:session_1281792837,19,142.0,389.0
genuine,user9:session_1281792837,20,140.0,394.0
genuine,user9:session_1281792837,21,165.0,401.0
genuine,user9:session_1281792837,22,172.0,412.0
genuine,user9:session_1281792837,23,173.0,417.0
genuine,user9:session_1281792837,24,176.0,417.0
genuine,user9:session_1281792837,25,178.0,418.0
genuine,user9:session_1281792837,26,177.0,421.0
genuine,user9:session_1281792837,27,172.0,423.0
genuine,user9:session_1281792837,28,172.0,423.0
genuine,user9:session_1281792837,29,174.0,423.0
genuine,user9:session_1281792837,30,192.0,425.0
genuine,user9:session_1281792837,31,239.0,430.0
genuine,user9:session_1281792837,32,270.0,433.0
genuine,user9:session_1281792837,33,271.0,433.0
genuine,user9:session_1281792837,34,278.0,433.0
genuine,user9:session_1281792837,35,292.0,433.0
genuine,user9:session_1281792837,36,292.0,430.0
genuine,user9:session_1281792837,37,290.0,414.0
genuine,user9:session_1281792837,38,289.0,360.0
genuine,user9:session_1281792837,39,284.0,327.0
genuine,user9:session_1281792837,40,263.0,269.0
genuine,user9:session_1281792837,41,252.0,242.0
genuine,user9:session_1281792837,42,248.0,230.0
genuine,user9:session_1281792837,43,246.0,222.0
genuine,user9:session_1281792837,44,245.0,214.0
genuine,user9:session_1281792837,45,243.0,205.0
genuine,user9:session_1281792837,46,243.0,203.0
genuine,user9:session_1281792837,47,243.0,201.0
genuine,user9:session_1281792837,48,247.0,193.0
genuine,user9:session_1281792837,49,247.0,192.0
genuine,user9:session_1281792837,50,245.0,175.0
genuine,user9:session_1281792837,51,239.0,151.0
genuine,user9:session_1281792837,52,235.0,136.0
genuine,user9:session_1281792837,53,231.0,120.0
genuine,user9:session_1281792837,54,230.0,106.0
genuine,user9:session_1281792837,55,230.0,104.0
genuine,user9:session_1281792837,56,233.0,89.0
genuine,user9:session_1281792837,57,234.0,78.0
genuine,user9:session_1281792837,58,237.0,73.0
genuine,user9:session_1281792837,59,240.0,69.0
genuine,user9:session_1281792837,60,242.0,68.0
genuine,user9:session_1281792837,61,248.0,62.0
genuine,user9:session_1281792837,62,256.0,54.0
genuine,user9:session_1281792837,63,260.0,49.0
genuine,user9:session_1281792837,64,261.0,49.0
genuine,user9:session_1281792837,65,262.0,49.0
genuine,user9:session_1281792837,66,262.0,49.0
genuine,user9:session_1281792837,67,262.0,49.0
genuine,user9:session_1281792837,68,262.0,49.0
genuine,user9:session_1281792837,69,262.0,49.0
